t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
140,24.08768829394108,5685,4786,4127.280860497902,230765.81397060974,0.5685,0.4786,-0.13879587099835355,0.0109305225932338,0.009067600926951544,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5647.067444650114,Local
141,24.06800093635266,7182,5303,4774.652094841395,267055.8364979108,0.7182,0.5303,-0.1477384547407673,0.010407040704070345,0.009168874150016606,0.5,0.7,High ($d_a = 0.7$),local,10000,5647.509914815142,Local
142,24.04719270329058,4749,4899,3857.3349594263614,215828.71966364363,0.4749,0.4899,-0.14742812693387167,0.016015515553236458,0.011347327736669702,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5647.925135342468,Local
143,24.02657338483829,5681,4931,4202.688982173245,235238.90333002282,0.5681,0.4931,0.008966640284140792,0.02085274111358171,0.014877893215697227,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5648.314207835059,Local
144,24.02781875154442,8571,5264,4947.359044769095,276914.4771550019,0.8571,0.5264,0.23329674622935992,0.019813045425683726,0.016976254776789112,0.5,0.7,High ($d_a = 0.7$),local,10000,5648.704835490385,Local
145,24.059997613093298,2842,4131,2607.1525264862385,145844.11855467,0.2842,0.4131,-0.2777575638237486,-0.0018213966597347847,-0.001980259931359978,0.5,0.3,Low ($d_a = 0.3$),local,10000,5649.136722338491,Local
146,24.02194863174758,3582,4085,3040.5580266428456,170204.51340356542,0.3582,0.4085,-0.2562271965836435,0.003168655895089987,0.0028512641566244847,0.5,0.3,Low ($d_a = 0.3$),local,10000,5649.520046777439,Local
147,23.987087788674977,4122,4831,3536.67250100133,198099.3263187948,0.4122,0.4831,-0.24320495778672682,0.008966085804248182,0.0070339230110493985,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5649.861419567469,Local
148,23.954222253838932,2586,4034,2410.2105312102713,135082.12375366766,0.2586,0.4034,-0.19649032189197324,0.009297022216354391,0.006463117710379298,0.5,0.3,Low ($d_a = 0.3$),local,10000,5650.165467732462,Local
149,23.92784771398766,4393,4883,3689.773276317809,206893.5290505509,0.4393,0.4883,-0.22646356495068296,0.010320559305665592,0.007983898047289804,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5650.441125374465,Local
